sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-C481755,121608,beautyfort,Rimmel,Rimmel Salon Pro By Kate Nagellack 12ml - 134 Moon,ean:3614220235936,3614220235936,3614220235936,3614220235936,missing,,none,https://www.beautyfort.com/pic/bHF6SE9pZkJnalFVZHA5aVI0czVMRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-B006456,121609,beautyfort,Elegant Touch,Elegant Touch Oval 24 False Nails with Glue - Next Stop New York,ean:5011522114873,5011522114873,5011522114873,5011522114873,missing,,none,,0,0,0,0,0,,,1
BF-N6800213,121610,beautyfort,Elegant Touch,Elegant Touch Oval 24 False Nails with Glue - Ibiza Holiday,ean:5011522116594,5011522116594,5011522116594,5011522116594,missing,,none,,0,0,0,0,0,,,1
BF-L126080,121611,beautyfort,Elegant Touch,Elegant Touch Oval 24 Falsche Nägel mit Kleber - Süßes Herz Romantik,ean:5011522117058,5011522117058,5011522117058,5011522117058,missing,,none,https://www.beautyfort.com/pic/eHRoTHZrNk93SkxnZGpERmFjbEd6NnRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-L126068,121612,beautyfort,Silkia,Silkia Hair Removal Cream With Aloe Vera 100ml,ean:5017371146515,5017371146515,5017371146515,5017371146515,missing,,none,,0,0,0,0,0,,,1
BF-Z451430,121613,beautyfort,Murrays Manicure,Murrays Manicure Full False Eyelashes,ean:5018632035746,5018632035746,5018632035746,5018632035746,missing,,none,,0,0,0,0,0,,,1
BF-F550051,121614,beautyfort,Murrays Manicure,Murrays Manicure Laser False Nails 24 Nails - Nude,ean:5018632133039,5018632133039,5018632133039,5018632133039,missing,,none,,0,0,0,0,0,,,1
BF-V521913,121615,beautyfort,Murrays Manicure,Murrays Manicure TQ Straight Nail Scissors,ean:5018632139055,5018632139055,5018632139055,5018632139055,missing,,none,,0,0,0,0,0,,,1
BF-F522551,121616,beautyfort,Murrays Manicure,Murrays Manicure TQ Eyecolour Smudger,ean:5018632139192,5018632139192,5018632139192,5018632139192,missing,,none,,0,0,0,0,0,,,1
BF-J522681,121617,beautyfort,W7,W7 A Good Hiding Sponge Concealer Pen 2.4g,ean:5060406146240,5060406146240,5060406146240,5060406146240,missing,,none,,0,0,0,0,0,,,1
BF-L526090,121618,beautyfort,W7,W7 Nail Polish 15ml - 90 Candy Floss,ean:5060406148497,5060406148497,5060406148497,5060406148497,missing,,none,,0,0,0,0,0,,,1
BF-F318451,121619,beautyfort,W7,W7 Matte Dreamer Loose Face Powder 20g,ean:5060503753426,5060503753426,5060503753426,5060503753426,missing,,none,,0,0,0,0,0,,,1
