export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181859,Gulf Orchid,Niche Collection Dark Chocolate,Eau de Parfum,UNI,100 ml,6290362162667,6290362162667,42,"14,44",0,,scraped_unapplied,,,6290362162667.webp,
181860,Gulf Orchid,Niche Collection Crème Caramel,Eau de Parfum,UNI,100 ml,6290362162643,6290362162643,36,"15,46",0,,no_image_anywhere,,,,
181861,Gulf Orchid,Niche Collection Coffee Note,Eau de Parfum,UNI,100 ml,6290362162698,6290362162698,23,"14,44",0,,no_image_anywhere,,,,
181862,Gulf Orchid,Mocktail Collection Tahiti Colada,Eau de Parfum,UNI,100 ml,6290362163312,6290362163312,2,"16,26",0,,no_image_anywhere,,,,
181863,Gulf Orchid,Mocktail Collection Old Fashioned,Eau de Parfum,UNI,100 ml,6290362163299,6290362163299,12,"16,19",0,,scraped_unapplied,,,6290362163299.jpg,
181864,Gulf Orchid,Mocktail Collection Cherry Kokomo,Eau de Parfum,UNI,100 ml,6290362163275,6290362163275,9,"18,61",0,,no_image_anywhere,,,,
181866,Lattafa,Ana Abiyedh Scarlet,Eau de Parfum,W,60 ml,6290362349938,6290362349938,21,"9,65",0,,our_cdn_file,https://images.prinscosmetic.eu/6290362349938.jpg,6290362349938.jpg,,in_stock/6290362349938.jpg
181869,Maison Asrar,Jewels Collection Pink Crush,Eau de Parfum,W,100 ml,6291107015804,6291107015804,47,"17,31",0,,no_image_anywhere,,,,
181870,Maison Asrar,Oh Honey!,Eau de Parfum,UNI,100 ml,6290362163619,6290362163619,44,"18,89",0,,no_image_anywhere,,,,
181871,Gulf Orchid,Taraf,Eau de Parfum,W,110 ml,6290362162438,6290362162438,15,"9,36",0,,no_image_anywhere,,,,
181872,Gulf Orchid,Mood for Oud,Eau de Parfum,UNI,110 ml,6290362162452,6290362162452,19,"12,28",0,,no_image_anywhere,,,,
181873,Gulf Orchid,Vanilla Latte,Eau de Parfum,UNI,100 ml,6290362162346,6290362162346,33,"16,73",0,,no_image_anywhere,,,,
181874,Gulf Orchid,Evening Dance,Eau de Parfum,UNI,110 ml,6290362162445,6290362162445,81,"11,14",0,,no_image_anywhere,,,,
181876,Maison Asrar,Legacy,Eau de Parfum,UNI,100 ml,6290362163107,6290362163107,470,"26,73",0,,no_image_anywhere,,,,
181877,Gulf Orchid,Niche Collection Mango Ice,Eau de Parfum,UNI,100 ml,6290362162629,6290362162629,71,"16,43",0,,no_image_anywhere,,,,
181878,Maison Asrar,Imperial,Eau de Parfum,UNI,100 ml,6290362161653,6290362161653,34,"20,85",0,,no_image_anywhere,,,,
181879,Gulf Orchid,Al Qasr Silver,Eau de Parfum,UNI,100 ml,6290362164432,6290362164432,41,"11,75",0,,scraped_unapplied,,,6290362164432.jpg,
181880,Gulf Orchid,Al Qasr Gold,Eau de Parfum,UNI,100 ml,6290362164449,6290362164449,69,"13,31",0,,scraped_unapplied,,,6290362164449.jpg,
181881,Maison Asrar,Khayyal,Eau de Parfum,UNI,100 ml,6290362163831,6290362163831,5,"23,37",0,,no_image_anywhere,,,,
181884,Maison Asrar,Throne Eclipse,Eau de Parfum,UNI,100 ml,6290362164401,6290362164401,21,"25,88",0,,no_image_anywhere,,,,
181885,Maison Asrar,Throne,Eau de Parfum,UNI,100 ml,6290362164395,6290362164395,80,"25,88",0,,no_image_anywhere,,,,
181887,Maison Asrar,Harmony,Eau de Parfum,UNI,100 ml,6290362164364,6290362164364,22,"23,37",0,,no_image_anywhere,,,,
181888,Maison Asrar,Hilm,Eau de Parfum,UNI,100 ml,6290362162858,6290362162858,9,"39,52",0,,no_image_anywhere,,,,
181889,Maison Asrar,Tornado,Eau de Parfum,UNI,100 ml,6290362163800,6290362163800,31,"21,56",0,,no_image_anywhere,,,,
181890,Maison Asrar,Whisper,Eau de Parfum,UNI,100 ml,6290362164388,6290362164388,22,"23,37",0,,no_image_anywhere,,,,
181892,Maison Asrar,Wadi,Eau de Parfum,UNI,100 ml,6290362163787,6290362163787,35,"19,30",0,,no_image_anywhere,,,,
181893,Maison Asrar,Red Carpet,Eau de Parfum,W,100 ml,6290362161851,6290362161851,9,"29,66",0,,no_image_anywhere,,,,
181895,Maison Asrar,Mohra,Eau de Parfum,UNI,100 ml,6290362163817,6290362163817,7,"23,37",0,,no_image_anywhere,,,,
181896,Maison Asrar,DXB,Eau de Parfum,UNI,100 ml,6290362163879,6290362163879,52,"33,85",0,,no_image_anywhere,,,,
181897,Gulf Orchid,Sweet Cherry Kiss,Eau de Parfum,UNI,30 ml,6290362164531,6290362164531,47,"9,10",0,,no_image_anywhere,,,,
181898,Gulf Orchid,Sweet Like Candy,Eau de Parfum,UNI,30 ml,6290362164555,6290362164555,45,"9,29",0,,no_image_anywhere,,,,
181901,Maison Asrar,Vision,Eau de Parfum,UNI,100 ml,6290362162841,6290362162841,52,"37,98",0,,no_image_anywhere,,,,
181902,Gulf Orchid,Vanilla Addiction,Eau de Parfum,UNI,30 ml,6290362164579,6290362164579,143,"11,73",0,,no_image_anywhere,,,,
181903,Maison Asrar,Muharib,Eau de Parfum,UNI,100 ml,6290362164487,6290362164487,70,"27,92",0,,no_image_anywhere,,,,
181905,Maison Asrar,Faris Al Arab,Eau de Parfum,M,100 ml,6290362164494,6290362164494,1,"29,44",0,,no_image_anywhere,,,,
181907,Maison Asrar,Vanilla Aura,Eau de Parfum,W,100 ml,6290362164944,6290362164944,32,"20,16",0,,no_image_anywhere,,,,
181908,Gulf Orchid,Awham,Eau de Parfum,UNI,110 ml,6290362162247,6290362162247,4,"11,18",0,,scraped_unapplied,,,6290362162247.jpg,
181909,Memwa,Top Summer Bombshe,Eau de Parfum,W,100 ml,6291107019314,6291107019314,20,"8,16",0,,no_image_anywhere,,,,
181911,Gulf Orchid,Gourmand Collection Banana Split,Eau de Parfum,UNI,100 ml,6290362163374,6290362163374,10,"17,49",0,,no_image_anywhere,,,,
181912,Gulf Orchid,Gourmand Collection Coco Blanco,Eau de Parfum,UNI,100 ml,6290362163367,6290362163367,32,"18,88",0,,no_image_anywhere,,,,
