sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-341728,72926,bts,NYX,Nyx Vivid Bright Liquid Liner 07-Sneaky Pink 2ml,ean:0800897230890,0800897230890,800897230890,800897230890,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341636,72927,bts,NYX,Nyx Zero to Brow Gel 07-Espresso 2ml,ean:0800897232856,0800897232856,800897232856,800897232856,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341637,72928,bts,NYX,Nyx Zero to Brow Gel 08-Black 2ml,ean:0800897232870,0800897232870,800897232870,800897232870,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376116,72929,bts,NYX,Nyx The Brow Glue Gel Cejas Taupe 5g,ean:0800897233792,0800897233792,800897233792,800897233792,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376117,72930,bts,NYX,Nyx The Brow Glue Gel Cejas Black 5g,ean:0800897233846,0800897233846,800897233846,800897233846,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341730,72931,bts,NYX,Nyx Vivid Matte Liquid Liner Black 2ml,ean:0800897233860,0800897233860,800897233860,800897233860,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-337529,72933,bts,NYX,"Nyx Fat Oil Lip Drip 02-Missed Call 4,8ml",ean:0800897233921,0800897233921,800897233921,800897233921,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376007,72935,bts,NYX,"Nyx Fat Oil Lip Drip That's Chic 4,8ml",ean:0800897233945,0800897233945,800897233945,800897233945,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-337532,72936,bts,NYX,"Nyx Fat Oil Lip Drip 05-Newsfeed 4,8ml",ean:0800897233976,0800897233976,800897233976,800897233976,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376005,72939,bts,NYX,"Nyx Fat Oil Lip Drip Update 4,8ml",ean:0800897234034,0800897234034,800897234034,800897234034,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376011,72940,bts,NYX,Nyx Bare With Me Blur 01-Pale 30ml,ean:0800897234263,0800897234263,800897234263,800897234263,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376010,72944,bts,NYX,Nyx Bare With Me Blur 10-Medium 30ml,ean:0800897234379,0800897234379,800897234379,800897234379,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-326969,72946,bts,NYX,Nyx Bare With Me Blur 15-Warm Honey 30ml,ean:0800897234423,0800897234423,800897234423,800897234423,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-326970,72948,bts,NYX,Nyx Bare With Me Blur 21-Rich 30ml,ean:0800897234492,0800897234492,800897234492,800897234492,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-340198,72950,bts,NYX,Nyx Face Freezie Moisturizer 50ml,ean:0800897240318,0800897240318,800897240318,800897240318,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-355335,72951,bts,NYX,"Nyx Bare With Me Concealer Serum Medium Golden 9,6ml",ean:0800897242329,0800897242329,800897242329,800897242329,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376014,72952,bts,NYX,"Nyx Bare With Me Concealer Serum 5,7-Light Tan 9,6ml",ean:0800897242336,0800897242336,800897242336,800897242336,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
