sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BTS-393798,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 13-Never Too Much 0,30g",ESSENCE COSMETICS,bts,393798,4059729490230,,4059729490230,89546,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-13-never-too-much-0-30g-bts-393798,3,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729490230
BTS-393799,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 14-Because It's Iconic 0,30g",ESSENCE COSMETICS,bts,393799,4059729490247,,4059729490247,89547,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-14-because-it-s-iconic-0-30g-bts-393799,1,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729490247
BTS-381182,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 15-Vintage Rose 0,3g",ESSENCE COSMETICS,bts,381182,4059729466631,,4059729466631,89495,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-15-vintage-rose-0-3g-bts-381182,6,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729466631
BTS-381179,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 16-Run, Don't Walk! 0,30g",ESSENCE COSMETICS,bts,381179,4059729490254,,4059729490254,89548,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-16-run-don-t-walk-0-30g-bts-381179,9,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729490254
BTS-381180,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 17-Must Have Brown 0,30g",ESSENCE COSMETICS,bts,381180,4059729490261,,4059729490261,89549,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-17-must-have-brown-0-30g-bts-381180,30,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729490261
BTS-381181,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 18-Cherry On Top 0,30g",ESSENCE COSMETICS,bts,381181,4059729490278,,4059729490278,89550,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-18-cherry-on-top-0-30g-bts-381181,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729490278
BTS-400742,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 20-Mauve Mirage 0,3g",ESSENCE COSMETICS,bts,400742,4059729542830,,4059729542830,89837,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-20-mauve-mirage-0-3g-bts-400742,8,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729542830
BTS-414139,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 21 0,3g",ESSENCE COSMETICS,bts,414139,4059729585172,,4059729585172,89948,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-21-0-3g-bts-414139,6,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585172
BTS-414140,"Essence Cosmetics 8h Matte Comfort Perfilador De Labios 22 0,3g",ESSENCE COSMETICS,bts,414140,4059729585189,,4059729585189,89949,essence-cosmetics-8h-matte-comfort-perfilador-de-labios-22-0-3g-bts-414140,8,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585189
BTS-316762,Essence Cosmetics All About Matt! Papeles Matificantes 50 U,ESSENCE COSMETICS,bts,316762,4059729271310,,4059729271310,89247,essence-cosmetics-all-about-matt-papeles-matificantes-50-u-bts-316762,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729271310
BTS-400705,Essence Cosmetics All About Soft Glow! Polvo Compacto Resistente Al Agua 8g,ESSENCE COSMETICS,bts,400705,4059729542502,,4059729542502,89822,essence-cosmetics-all-about-soft-glow-polvo-compacto-resistente-al-agua-8g-bts-400705,15,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729542502
BTS-413740,"Essence Cosmetics Aura Points Labial Con Cambio De Color 3,2g",ESSENCE COSMETICS,bts,413740,4059729585103,,4059729585103,89942,essence-cosmetics-aura-points-labial-con-cambio-de-color-3-2g-bts-413740,11,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585103
BTS-386648,"Essence Cosmetics Baby Got Bronze Bronceador En Barra Brillante 10-Golden Hour 5,5g",ESSENCE COSMETICS,bts,386648,4059729521347,,4059729521347,89728,essence-cosmetics-baby-got-bronze-bronceador-en-barra-brillante-10-golden-hour-5-5g-bts-386648,7,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729521347
BTS-386649,"Essence Cosmetics Baby Got Bronze Bronceador En Barra Brillante 20 -Holiday Glow 5,5g",ESSENCE COSMETICS,bts,386649,4059729521354,,4059729521354,89729,essence-cosmetics-baby-got-bronze-bronceador-en-barra-brillante-20-holiday-glow-5-5g-bts-386649,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729521354
BTS-386559,Essence Cosmetics Baby Got Bronze Bronceador Líquido 40-Tan-Tastic 10ml,ESSENCE COSMETICS,bts,386559,4059729466228,,4059729466228,89489,essence-cosmetics-baby-got-bronze-bronceador-liquido-40-tan-tastic-10ml-bts-386559,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729466228
